,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-27 03:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,CSP,CLP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,CLP,BTO,BTO,CLP,CLP,CSP,CSP,BTO,STO,CSP,STO,,,CSP,CSP,,,,,,
2021-09-27 04:00:00,CSP,BTO,CSP,BTO,BTO,CLP,CLP,BTO,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,CSP,BTO,BTO,CSP,CLP,CSP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 05:00:00,CSP,BTO,CSP,BTO,CSP,CLP,STO,BTO,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,BTO,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,CSP,BTO,BTO,CSP,CLP,CSP,CSP,BTO,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 06:00:00,CSP,BTO,CSP,BTO,CSP,CLP,STO,BTO,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,CSP,BTO,BTO,CSP,CLP,CSP,CSP,BTO,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 07:00:00,CSP,BTO,CSP,BTO,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,CLP,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 08:00:00,CSP,BTO,CSP,BTO,CSP,CLP,STO,CSP,BTO,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,BTO,CSP,CSP,STO,STO,CLP,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CSP,CSP,BTO,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 09:00:00,CSP,BTO,CSP,BTO,CSP,CLP,CLP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 10:00:00,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,BTO,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 11:00:00,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,BTO,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 12:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,BTO,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
