,AAVE,AUDIO,AXS,BAT,BCH,BNB,BNT,BTC,CEL,CHZ,COMP,CRO,CRV,DOGE,DYDX,ENJ,ETH,FTM,FTT,GRT,HNT,HT,LINK,LTC,MATIC,MKR,OKB,OMG,PERP,REN,SHIB,SNX,SOL,SPELL,SRM,SUSHI,TRX,UNI,XRP,YFI
2021-09-26 20:00:00,-0.18044145834433892,-0.13529013197018802,-0.13122398952093658,-0.23068082321769717,-0.1990918413537749,-0.19121684931210242,0.12225255049154021,-0.1665150401386528,-0.11032727059150758,-0.2203963911840562,-0.1806716519766178,-0.1674537384687246,-0.12952758014677077,-0.2180061795441772,-0.02964446432269842,-0.1567918284731056,-0.15791405819963544,-0.14414687518036892,-0.06675135195317818,-0.1755931265685388,-0.22581838393717849,-0.06477172051838702,-0.16886037302623622,-0.194995777243764,-0.221581940156336,-0.13323969460921756,-0.01572972334453555,-0.07942490710931799,-0.05275124217152409,-0.09099585618700537,-0.11907149581654135,-0.16244020628856193,-0.1399562943194543,,-0.15026186387083154,-0.12643663971945945,-0.14854725879231837,-0.11956161073612065,-0.1949366527191352,-0.196640982471031
2021-09-26 21:00:00,-0.18100723519745304,-0.13531373952373088,-0.13146589073656112,-0.23033466544044917,-0.19926087288088937,-0.19122743719564342,0.12245632028219335,-0.1665477045714847,-0.11323554523513857,-0.22054283543670547,-0.1806985940934419,-0.1676088714711177,-0.12954419824686764,-0.2181337168438605,-0.029667230653962054,-0.15683291027691396,-0.15787503476872314,-0.14426987465939464,-0.066710388178103,-0.17325541835733652,-0.22593284731821658,-0.06474961674450673,-0.16886380138909352,-0.19507059160957083,-0.22191354651579606,-0.13322235022190332,-0.015762848507475766,-0.0793787210750953,-0.05270399114568587,-0.0908787599186162,-0.1189943318383171,-0.1628164910058552,-0.13990351100862697,,-0.15028722323756025,-0.12635604232242229,-0.14861594386761964,-0.11957403446734581,-0.19501892012848235,-0.19716872343186775
2021-09-26 22:00:00,-0.18158378794509525,-0.13581597012559954,-0.13164456083958043,-0.23185818382158274,-0.20006651392674854,-0.19198629533998757,0.12287149658735283,-0.16672643082386782,-0.12275723277870179,-0.22070540524387353,-0.18134209742367488,-0.16794503375927955,-0.1299461174824881,-0.21882070385823252,-0.028876502488470526,-0.15733739642104483,-0.15839752202091215,-0.1446179331837513,-0.06667614532907827,-0.17357316040206974,-0.2261611863868225,-0.06478877212962363,-0.16944193369823615,-0.19596294057534078,-0.22260973471194398,-0.13343530370246612,-0.01581841796698791,-0.07909278869317518,-0.05234761788215041,-0.09083790050997256,-0.11865601444872438,-0.16395397777986803,-0.13984922066973451,,-0.15048865048708135,-0.12748596065991927,-0.14896569514291008,-0.11999544532452007,-0.19584802954491684,-0.19807467213258897
2021-09-26 23:00:00,-0.18281675954105034,-0.141784348479849,-0.13157027244957586,-0.23362329916109234,-0.19996672322052447,-0.19189307156059668,0.12215975983787272,-0.16735551771577561,-0.11542732957949575,-0.2208593296133227,-0.18187651279266373,-0.16858572513692888,-0.1281181804280419,-0.2196545198912238,-0.028863620701748215,-0.15768348766117707,-0.1593231912402715,-0.14533629832985612,-0.06650857897448166,-0.17461693551848764,-0.2263372051943502,-0.063999079903174,-0.17038331921324754,-0.1964127629586672,-0.22349058000446548,-0.1338431890462415,-0.014649609857170462,-0.0781649638362769,-0.05043370159809915,-0.09104500129167349,-0.12498265199328308,-0.16533924908810083,-0.13979700638556644,,-0.1508391433404366,-0.12842908147536064,-0.1498637428408139,-0.12044932166092677,-0.1963860089042994,-0.19854664421815485
2021-09-27 00:00:00,-0.1822992193038541,-0.1415571995235143,-0.13140288131384942,-0.23238774838459328,-0.19890270680868394,-0.19107896250706288,0.12200080611561358,-0.16622751419248824,-0.11668800784779139,-0.22030219672500007,-0.18110425085999896,-0.1674166250194166,-0.12682527049583286,-0.2191776397709061,-0.028943427229416913,-0.15686731806217505,-0.1580972852871615,-0.1445900974298463,-0.06632661907940368,-0.17419267697267063,-0.22585332415058076,-0.06392254147780549,-0.1693356677085511,-0.19528814816103066,-0.22293765778294114,-0.1332786214396784,-0.014522448577617674,-0.07823918989925135,-0.05039644283319914,-0.09097616251977744,-0.12720816682308686,-0.16506589564963878,-0.13956773023420935,,-0.15017885862678657,-0.1278929620950397,-0.14952111915250332,-0.11965282919829061,-0.19595681685958546,-0.19811874316000683
2021-09-27 01:00:00,-0.18198024792631373,-0.1417671896717598,-0.13137286023761754,-0.23248545741440854,-0.19860159336846567,-0.19123462906953045,0.12223075285464308,-0.16612468565175184,-0.12119941204778642,-0.22003252646399932,-0.18018417440094314,-0.16724686757602553,-0.12612270623456362,-0.21987225979011407,-0.02912441299134173,-0.15697504867091677,-0.15763950520965755,-0.1445390311716847,-0.06624651599034803,-0.1733292156946056,-0.22585666795097933,-0.06383878510817786,-0.16925679149733053,-0.1949632110598942,-0.22287021399140325,-0.13301063612065506,-0.014205054870386823,-0.0784552721203433,-0.05022936912946824,-0.09050342840725137,-0.12784457352808243,-0.1652011362947374,-0.13969464825306824,,-0.1500848148260987,-0.12611565031464222,-0.14961792425463205,-0.11935947394915587,-0.19611488345918504,-0.19816237140110307
2021-09-27 02:00:00,-0.18088736423642512,-0.14150464414272976,-0.13058763768426646,-0.23195180125517742,-0.19771601307460915,-0.1905773314179936,0.12371199923638515,-0.16511231765218812,-0.1282952795600436,-0.21955411280239867,-0.17965852581657557,-0.16660691323863885,-0.12558851533255594,-0.21934765509095783,-0.03245553583467775,-0.15644780319075557,-0.15622464840290312,-0.14410828301696946,-0.06679535321255155,-0.1729007037750791,-0.22527580212278223,-0.06458037940879248,-0.16879756621524938,-0.1943959659297343,-0.22249311239258834,-0.13294544723642557,-0.015352186077076214,-0.07699378919512945,-0.051306545969525164,-0.0892967767574689,-0.12760716841250627,-0.1641676306251939,-0.13950412804542872,,-0.14980691752947004,-0.12559099149480987,-0.14964334463573792,-0.11701148930975153,-0.1955974761409331,-0.19666372305159463
2021-09-27 03:00:00,-0.18091268161921678,-0.14194211697773076,-0.13040032101823945,-0.23235713149048057,-0.19817516357105378,-0.18889403274501237,0.1233678679769271,-0.16532202415945332,-0.13005959769713898,-0.22036282996685774,-0.18011174814148045,-0.16679479953574725,-0.12570641304840677,-0.2197761238156493,-0.03230097172939493,-0.15667993830822335,-0.1566432952194899,-0.14415118640361185,-0.06690452694179717,-0.17289472309559903,-0.2255856382175139,-0.06457369186725725,-0.1685222630783722,-0.1947181994985223,-0.22335950594121293,-0.13321725542606233,-0.015594922519106026,-0.07723353719222163,-0.05027786693251811,-0.08866990118049778,-0.1284990231020822,-0.16397341254006734,-0.13855646529493076,,-0.1500143568204711,-0.12567564217677626,-0.15099134794291386,-0.11709643165373816,-0.19500654267624276,-0.19678447554071257
2021-09-27 04:00:00,-0.18146145194314334,-0.1470198413178283,-0.13333306505747003,-0.23566747552373657,-0.1991726413898411,-0.19025925145585967,0.08665986826687536,-0.16867062869855987,-0.14954390619774616,-0.2275389235425112,-0.1817785258755691,,-0.13054310748314513,-0.22425743749075902,-0.039639364005650435,-0.15684333673803016,-0.15943173270812933,-0.14517680763525434,-0.07612819160319846,-0.17520215644260242,,-0.06807791412088095,-0.17212726742296444,-0.19817424747117054,-0.22034359385911517,-0.1403140872664395,-0.027999690083058703,-0.0809399133990961,-0.055045153735640645,-0.08959338240232599,-0.14217613610761096,-0.16672587997099458,-0.13854850027902973,,-0.14915072638870508,-0.12550690994287245,-0.15388157525548424,-0.1181156006445086,-0.19812211025511053,-0.19930493696728943
2021-09-27 05:00:00,-0.181273370796891,-0.14667575565713295,-0.13315419050459631,-0.23548252513979637,-0.1990641835282675,-0.1901555970714878,0.08735764765343425,-0.1685531497069228,-0.15298632065355897,-0.22744985806010884,-0.18157825856495974,,-0.13065858969813346,-0.23605946606079198,-0.03986518428633515,-0.1567535302650628,-0.1593819537218071,-0.1450000456199943,-0.07625683514927124,-0.17488338904892312,,-0.06821336632906372,-0.1719743477218494,-0.1979998336455,-0.2202379026745384,-0.14100068897968918,-0.02803188963041772,-0.08100178687482525,-0.055193740086002814,-0.08947032617939599,-0.14255888055486807,-0.1666053211535469,-0.13833456879780115,,-0.1491318749897376,-0.12526843099981969,-0.15371703995898212,-0.11776700387012728,-0.19818021694633525,-0.19882956350236328
